|tweetid|date|title|url
89|567515066866868224|Tue Feb 17 02:45:10 +0000 2015|A simple diet with just one rule worked about as well as the effective - but complicated - @American_Heart diet |http://lat.ms/19pvgS7
90|567506268181782528|Tue Feb 17 02:10:12 +0000 2015|If you can eat 30 grams of fiber per day, you can lose weight. That's what happened in this @AnnalsofIM study |http://lat.ms/19pvgS7
91|567463488759791616|Mon Feb 16 23:20:13 +0000 2015|When it comes to dieting, simple advice can be effective, @AnnalsofIM study shows |http://lat.ms/19pvgS7
92|567463470799814656|Mon Feb 16 23:20:09 +0000 2015|Detailed diet rules produced only slightly better results than a much simpler alternative in new study |http://lat.ms/19pvgS7
93|567461601369149440|Mon Feb 16 23:12:43 +0000 2015|Trying to lose weight? Try eating more fiber. Here's why: |http://lat.ms/19pvgS7
94|567459398873022464|Mon Feb 16 23:03:58 +0000 2015|When less is more: Advice on losing weight. Simple diet worked about as well as complicated one. @AnnalsofIM |http://lat.ms/19pvgS7
95|567400295735365632|Mon Feb 16 19:09:06 +0000 2015|Meditation booms as people seek a way to slow down |http://lat.ms/1CAUHJW
96|566643819513262080|Sat Feb 14 17:03:08 +0000 2015|Anna Kendrick seeks pitch-perfect balance of work, workouts and sleep |http://lat.ms/1CsyNsl
97|566420434221281282|Sat Feb 14 02:15:29 +0000 2015|"Sad, but perhaps true: ""Few individuals ever truly recover from obesity."" Expert opinion in @TheLancetEndo "|http://lat.ms/1zAY4fj
98|566374973909245953|Fri Feb 13 23:14:51 +0000 2015|The truth about overcoming obesity is utterly grim. But someone had to say it. |http://lat.ms/19f0gnF
99|566368753190187009|Fri Feb 13 22:50:08 +0000 2015|"Once you are fat, ""body weight seems to become biologically 'stamped in' and defended."" "|http://lat.ms/1zAY4fj
100|566341937334976512|Fri Feb 13 21:03:34 +0000 2015|Acid reflux raises serious health concerns |http://lat.ms/1CoY5HM
101|566327351534170113|Fri Feb 13 20:05:37 +0000 2015|Some heavy-hitting doctors debunk the idea that diet &amp; exercise alone can solve the obesity crisis. In @TheLancetEndo |http://lat.ms/1zAY4fj
102|566301467188137985|Fri Feb 13 18:22:45 +0000 2015|"Advice to ""eat less, move more"" is not enough to make obese people slim, experts argue in @TheLancetEndo "|http://lat.ms/1zAY4fj
103|566297522927190016|Fri Feb 13 18:07:05 +0000 2015|Little innovations make a big difference for riders |http://lat.ms/1Co84gE
104|566054263441604608|Fri Feb 13 02:00:27 +0000 2015|Does your dog know how you're feeling? Perhaps so! They passed this emotional fluency test in Austria |http://lat.ms/1CjU6w3
105|566007668335456256|Thu Feb 12 22:55:18 +0000 2015|Study identifies more diseases that cause smokers to die: breast &amp; prostate cancer, hypertension, kidney failure |http://lat.ms/1CiC3nt
106|565982082732941312|Thu Feb 12 21:13:38 +0000 2015|RT @LATkarenkaplan: Can you tell which face is angry and which is sad? Dogs can. via @CurrentBiology  |http://lat.ms/1CjU6w3
107|565961147820806145|Thu Feb 12 19:50:27 +0000 2015|Estimate of 480,000 smoking deaths per year understates the true toll of cigarettes in America, via @NEJM |http://lat.ms/1CiC3nt
108|565937200098181120|Thu Feb 12 18:15:17 +0000 2015|How to stop a stroke in its tracks? Go in and grab the clot blocking blood flow to brain. |http://lat.ms/1E4QxKi
109|565919665156005888|Thu Feb 12 17:05:37 +0000 2015|The health benefits of alcohol consumption are more limited than previously thought, researchers say |http://lat.ms/1yhOMEP
110|565695599476232192|Thu Feb 12 02:15:15 +0000 2015|Unintended consequence of better federal oversight for organ transplants: Fewer hearts are actually transplanted? |http://lat.ms/16SLUYm
111|565650225956933632|Wed Feb 11 23:14:57 +0000 2015|Smoking is even more deadly than you think. So says this special report in @NEJM |http://lat.ms/1CiC3nt
112|565649089669627904|Wed Feb 11 23:10:26 +0000 2015|44%: The proportion of available donor hearts transplanted into patients in 1995. 29%: Equivalent figure for 2006. |http://lat.ms/16SLUYm
113|565603786862120961|Wed Feb 11 20:10:25 +0000 2015|With more patients in need of heart transplants, you might more donor hearts would be accepted by doctors. But .... |http://lat.ms/16SLUYm
114|565590014634242050|Wed Feb 11 19:15:42 +0000 2015|L'chaim. Sante. Salud. But only women ages 65 or older can truly drink to their health, study finds |http://lat.ms/1yhOMEP
115|565572244228038658|Wed Feb 11 18:05:05 +0000 2015|Good news: Health benefits of drinking are real. Bad news: Only for women ages 65 and older. Study in @BMJ_Open |http://lat.ms/1yhOMEP
116|565570746135891968|Wed Feb 11 17:59:08 +0000 2015|Drink to your health? Only if you're a woman who's at least 65 years old, says study in @BMJ_Open |http://lat.ms/1yhOMEP
117|565568779355426816|Wed Feb 11 17:51:19 +0000 2015|Sad fact about heart transplants: Only 32% of available donor hearts find their way into patients. |http://lat.ms/16SLUYm
118|565326941893709824|Wed Feb 11 01:50:20 +0000 2015|Fed-up doctors who drop unvaccinated patients are at odds with @AmerAcadPeds. |http://lat.ms/1CdUfPb
119|565284264800178181|Tue Feb 10 23:00:45 +0000 2015|Vaccine ultimatum resulted in 50-100 additional kids getting MMR, says pediatrician who used it |http://lat.ms/1CdUfPb
120|565236315734544384|Tue Feb 10 19:50:13 +0000 2015|Patients who are not vaccinated are presenting a clear and present danger, says a pediatrician who won't see them |http://lat.ms/1CdUfPb
121|565229483825700865|Tue Feb 10 19:23:05 +0000 2015|Smartphone apps keep pace with costly fitness trackers |http://lat.ms/1IN4nHD
122|565217442910457856|Tue Feb 10 18:35:14 +0000 2015|In the battle of the fitness trackers, @Nike's Fuelband was worst (by far). Study by @miteshpatel in @JAMA_current |http://lat.ms/1A9pqA4
123|565208815118061569|Tue Feb 10 18:00:57 +0000 2015|Which pedometer is best? @fitbit's One and Zip models were most consistently accurate in this @JAMA_current study |http://lat.ms/1A9pqA4
124|565206296367218688|Tue Feb 10 17:50:56 +0000 2015|Can't afford a Fitbit? Free smartphone apps are just about as good, @JAMA_current report says |http://lat.ms/1A9pqA4
125|565201605977702403|Tue Feb 10 17:32:18 +0000 2015|Some pediatricians have run out of patience with anti-vax parents &amp; drop them as patients |http://lat.ms/1CdUfPb
126|564978398590947328|Tue Feb 10 02:45:21 +0000 2015|Among teens using contraception, researchers @USC &amp; @Harvard found no link between Gardasil and risk of STIs |http://lat.ms/1vAS8YT
127|564969525947666432|Tue Feb 10 02:10:06 +0000 2015|Teens vaccinated against HPV got more sexually transmitted infections, but so did teens who weren't vaccinated |http://lat.ms/1vAS8YT
128|564937039926525952|Tue Feb 10 00:01:00 +0000 2015|Parents can breathe easy: HPV vaccine does not make teens more likely to have sex. via @JAMAInternalMed |http://lat.ms/1vAS8YT
129|564929999653072896|Mon Feb 09 23:33:02 +0000 2015|For teen girls, getting older is a risk factor for STIs. HPV vaccine isn't. Data in @JAMAInternalMed |http://lat.ms/1vAS8YT
130|564914238612062208|Mon Feb 09 22:30:24 +0000 2015|"RT @LATerynbrown: Measles parties in California? Via @KQEDhealth  . Reminds me of ""pox parties"" from 2011"|http://bit.ly/1Dd573M
131|564154180324294658|Sat Feb 07 20:10:12 +0000 2015|Smartphone-based diagnostic lab costs $34; desktop version costs $18,450 |http://lat.ms/1zgOFJU
132|564105078630793216|Sat Feb 07 16:55:05 +0000 2015|"This @Columbia invention certainly parts the ""smart"" in smartphone! "|http://lat.ms/1zgOFJU
133|564046809979314176|Sat Feb 07 13:03:33 +0000 2015|Snow Summit ski school at Big Bear turns out more confident skiers |http://lat.ms/1xHnuau
134|563892426822410240|Sat Feb 07 02:50:05 +0000 2015|"On Brian Williams: ""Memory is prone to error and distortion,"" says @Harvard psychologist Daniel Schacter "|http://lat.ms/1KpNIal
135|563880150744694785|Sat Feb 07 02:01:18 +0000 2015|On a 10-point stress scale, low-income folks average 5.2 while higher-income folks average only 4.7. |http://lat.ms/1CBtIQW
136|563858477790285824|Sat Feb 07 00:35:11 +0000 2015|Lightweight, low-power smartphone device was 100% accurate in diagnosing HIV in Rwanda field tests. |http://lat.ms/1zgOFJU
137|563855497225584640|Sat Feb 07 00:23:21 +0000 2015|Need to diagnose a case of HIV in remote Rwanda? @Columbia engineers have an app for that!  |http://lat.ms/1zgOFJU
138|563852470640971776|Sat Feb 07 00:11:19 +0000 2015|"Memory expert @eloftus1 on @BWilliams: ""This could easily be the development of a false memory."" "|http://lat.ms/1KpNIal
139|563834839145938946|Fri Feb 06 23:01:15 +0000 2015|What makes Americans stressed out? Money, work, family responsibilities and health concerns. (Sound familiar?) |http://lat.ms/1CBtIQW
140|563827994611822592|Fri Feb 06 22:34:03 +0000 2015|Vromage makes an art out of vegan cheeses made with nut milks |http://lat.ms/1Ik7tmg
141|563820978220720128|Fri Feb 06 22:06:11 +0000 2015|Howie Mandel runs to be calm, works to help others with A-fib |http://lat.ms/1IjY3qN
142|563787066580803584|Fri Feb 06 19:51:25 +0000 2015|Vegan January was full of good food and wise lessons |http://lat.ms/1xBNvba
143|563786731515043840|Fri Feb 06 19:50:06 +0000 2015|The gender gap in stress -- 38% of men and 49% of women say money worries stress them out. |http://lat.ms/1CBtIQW
144|563753457480630273|Fri Feb 06 17:37:52 +0000 2015|"America suffers from a ""stress inequality gap,"" much of it due to income inequality.  "|http://lat.ms/1CBtIQW
145|563474764921315328|Thu Feb 05 23:10:27 +0000 2015|Doctors inadvertently demonstrate how fecal transplants might help with weight loss. |http://lat.ms/18SsTHc
146|563470867053957124|Thu Feb 05 22:54:58 +0000 2015|Fecal transplant cures c. diff infection, but it may have caused this woman to gain 40 pounds ... |http://lat.ms/18SsTHc
147|563170245184339969|Thu Feb 05 03:00:24 +0000 2015|When it comes to vaccines, random online comments can be just as persuasive as information from the @CDCgov |http://lat.ms/1F7zeca
148|563156321470799872|Thu Feb 05 02:05:04 +0000 2015|The good: People believed @CDCgov's advice about vaccines. The bad: They also believed random online comments |http://lat.ms/1F7zeca
149|563146269267595264|Thu Feb 05 01:25:08 +0000 2015|Brain signals hint at why drug addicts make bad choices, via @LATsciguy |http://lat.ms/1DHg7Vq
150|563145065724645378|Thu Feb 05 01:20:21 +0000 2015|Double whammy for cocaine addicts: The drug alters brain circuits that help us learn from our mistakes |http://lat.ms/1DHg7Vq
151|563134552315408387|Thu Feb 05 00:38:34 +0000 2015|Clever produce snacks can turn a school bake sale into an UnBake Sale |http://lat.ms/1I4qc4U
152|563133823014416384|Thu Feb 05 00:35:40 +0000 2015|On the Internet, the @CDCgov and random online commenters can be equally persuasive about vaccines |http://lat.ms/1F7zeca
153|563093933602115584|Wed Feb 04 21:57:10 +0000 2015|New #glutenfree desserts from @KristineKidd Cornmeal blackberry cake was terrific. @CarolBlymire @CeliacAwareness. |http://pbs.twimg.com/media/B9CC8s6CYAAcMFm.jpg
154|562806550415564803|Wed Feb 04 02:55:12 +0000 2015|8% of people surveyed said they'd rather give up 2 years of life than take a pill every day. Would you? |http://lat.ms/1vrgGDR
155|562795210456195076|Wed Feb 04 02:10:09 +0000 2015|"The ideal ""dose"" of jogging is a lot lower than you might think. "|http://lat.ms/1zyNclx
156|562773623040376833|Wed Feb 04 00:44:22 +0000 2015||
157|562771564413079555|Wed Feb 04 00:36:11 +0000 2015|How much do you hate taking pills? In this study, 21% of people said they'd rather pay $1,000 a week instead |http://lat.ms/1vrgGDR
158|562748725542809600|Tue Feb 03 23:05:26 +0000 2015|Couch potatoes and high-intensity runners were equally likely to die during the 12 years of this heart study: |http://lat.ms/1zyNclx
159|562746747974582272|Tue Feb 03 22:57:34 +0000 2015|When it comes to jogging, less is more, study argues |http://lat.ms/1x9ZPiK
160|562717177560985600|Tue Feb 03 21:00:04 +0000 2015|"Think you don't have time to exercise? This new study says 1 to 1.4 hrs/week is ideal ""dose"" @ACCinTouch "|http://lat.ms/1zyNclx
161|562444154895335425|Tue Feb 03 02:55:10 +0000 2015|88% of FRUIT JUICES made for infants and toddlers contain added sugars. Why? |http://lat.ms/1Almj7H
162|562429057183539200|Tue Feb 03 01:55:11 +0000 2015|A typical toddler savory snack has a higher concentration of sodium than potato chips eaten by adults |http://lat.ms/1Almj7H
163|562391998624464896|Mon Feb 02 23:27:55 +0000 2015|Processed foods for America's youngest eaters may pave the way for cardiovascular disease years later |http://lat.ms/1Almj7H
164|561525074264485889|Sat Jan 31 14:03:04 +0000 2015|Smart sports devices aim to step up performance |http://lat.ms/1HxBQFf
165|561305694574747649|Fri Jan 30 23:31:20 +0000 2015|FDA has approved marketing of ADHD drug Vyvanse in treatment of binge eating disorder. |http://lat.ms/1Ahet9S
166|561241508729221120|Fri Jan 30 19:16:17 +0000 2015|RT @aminawrite: Do liberals outlive conservatives? New study elicits debate:  #science #politics|http://lat.ms/18Al60y
167|561208360033206272|Fri Jan 30 17:04:34 +0000 2015|6 L.A. restaurants for vegans; there are 60 in L.A. |http://lat.ms/1Hs6kbP
168|560993366327185409|Fri Jan 30 02:50:15 +0000 2015|48% -- the percentage of patients in need of organ transplants who actually get them.  |http://lat.ms/18AkwzT
169|560978237313277956|Fri Jan 30 01:50:08 +0000 2015|Recipients of heart transplants gain 4.9 yrs of life (on average); folks who get kidneys get 4.4 extra years. |http://lat.ms/18AkwzT
170|560943387483062272|Thu Jan 29 23:31:40 +0000 2015|Health experts throw cold water on juice cleanse |http://lat.ms/1Hn10X6
171|560943383917506561|Thu Jan 29 23:31:39 +0000 2015|Juicing trend still going strong in 2015 |http://lat.ms/1Hn135d
172|560941769647734784|Thu Jan 29 23:25:14 +0000 2015|On the fence about becoming an organ donor? This may help you make up your mind: |http://lat.ms/18AkwzT
173|560937403909963777|Thu Jan 29 23:07:53 +0000 2015|2,270,859 -- The number of years of extra life lived by organ transplant recipients. |http://lat.ms/18AkwzT
174|560936783060684802|Thu Jan 29 23:05:25 +0000 2015|The researchers who did this study expected Republicans to outlive Democrats. But that's not what happened: |http://lat.ms/1BvRvwi
